alpha,rt_none,rt_uni,rt_tgt,rt_uni_exit,rt_tgt_exit,drop_man,drop_fin,drop_ser,drop_agg,ratio_fin_agg,t_rec_agg,t_rec_kl,lag,minM
-0.009887006553711958,37.76,120.0,16.96,51.480000000000004,15.0,3.503990298579599,25.745071872410435,3.4314376434804332,8.46079214445662,3.042867787418487,12.48,39.36,26.88,1.0
-0.026547959953983034,40.64,49.92,16.28,41.24,14.56,3.957642126784057,24.74600021986742,3.4889205324885353,8.56801012058654,2.8881852228920315,12.56,42.480000000000004,29.92,1.0
-0.02956866722437249,45.44,55.84,14.0,45.96,12.92,5.21812826779055,18.33282907236208,2.270126568495409,7.25147584829801,2.5281514350854484,13.6,45.800000000000004,32.2,1.0
-0.04966198417845873,44.32,54.120000000000005,18.080000000000002,45.24,15.56,7.722632975045432,16.088332658763584,5.945448807696666,9.373298710643278,1.716400293580259,22.36,38.84,16.480000000000004,1.0
-0.043330567588590975,40.12,61.88,12.76,43.04,12.08,5.762656935636189,15.606462252275385,2.614722529470891,7.172620601157879,2.175838249377923,17.080000000000002,39.84,22.76,1.0
-0.01626138732536616,54.24,70.08,19.16,55.76,15.72,4.361009034564337,23.225697205097454,2.5426444684883855,7.976175727272168,2.9118838399816176,13.52,57.800000000000004,44.28,1.0
-0.02973449908131369,38.68,74.16,13.76,45.04,12.84,5.740129960845218,17.77837146256602,3.916868405627696,8.262081408876298,2.1518029879814518,18.12,37.52,19.400000000000002,1.0
-0.04118292239379981,37.92,58.24,13.88,41.64,12.92,7.088410766108856,17.609677621785664,2.6574566296634097,8.484427131522699,2.0755293608874754,18.04,32.44,14.399999999999999,1.0
-0.03091950145396349,50.52,56.4,20.76,51.04,35.6,4.719056922246904,27.877425416908242,2.7427380447194714,9.750526294074646,2.8590687903533203,14.96,47.88,32.92,1.0
-0.018428268439222056,37.56,120.0,12.84,70.0,12.16,5.6179420661610635,16.05085974265111,3.617058922739697,7.910273175489227,2.0291157317279893,18.64,35.64,17.0,1.0
-0.052985397214662694,44.72,44.08,17.16,43.92,14.92,2.8235665788461644,22.864654082267677,3.3226135294826404,7.459033447449246,3.065364198103531,11.76,48.04,36.28,1.0
-0.01544946485301157,39.480000000000004,120.0,13.64,74.84,12.8,7.911291391455258,15.556097796714235,2.9586732889561183,8.271163197261343,1.880763010680892,20.72,37.92,17.200000000000003,1.0
-0.03167739316235981,40.76,50.160000000000004,16.8,41.68,14.76,5.1384473840957865,25.044550967164515,2.8323370863830037,8.978882191127486,2.7892726994360584,14.280000000000001,41.12,26.839999999999996,1.0
-0.024124885602148514,44.4,63.84,18.28,46.800000000000004,15.32,5.29917077596922,24.185884878588688,3.0021366652477965,8.99777895509933,2.6879838901667807,13.52,43.88,30.360000000000003,1.0
-0.008034613297972035,31.28,120.0,13.200000000000001,120.0,12.48,5.385984636492047,12.647750798449595,7.471007135251603,8.030467187157427,1.5749707337919605,23.56,28.240000000000002,4.680000000000003,1.0
-0.023477885758330166,34.12,80.76,15.0,42.52,13.76,5.001623841590787,20.06480208403482,5.859818845005502,9.373951372139798,2.140484976663007,18.52,30.88,12.36,1.0
-0.03850406836120243,28.84,85.0,13.120000000000001,50.24,12.44,6.908539073300547,11.774953076124927,5.193781693563686,7.79633091611289,1.5103198161829317,28.36,25.560000000000002,-2.799999999999997,1.0
-0.032964639557677096,42.4,55.88,16.72,43.88,14.68,4.537244980265331,21.852307642016925,4.842313263554689,9.09856840852639,2.4017303229306752,16.52,39.56,23.040000000000003,1.0
-0.03571197154634215,25.2,77.84,14.96,43.56,13.76,9.148074264175207,13.779717407112594,5.471184905140778,9.258374227809881,1.4883517416828658,33.12,24.88,-8.239999999999998,1.0
-0.04435110262572127,45.52,61.480000000000004,14.0,47.52,12.84,7.260891607607103,18.321872523937472,3.64783947883789,8.705934925930455,2.104526702740005,14.96,45.84,30.880000000000003,1.0
-0.02330401204906448,35.32,68.8,14.52,39.44,13.44,4.066702619916234,21.517033254367,1.5723331591806773,7.569805739330332,2.8424815636379224,12.8,35.160000000000004,22.360000000000003,1.0
-0.04556697935616687,43.76,49.08,18.68,44.04,15.92,5.060781403788121,23.314929925834363,5.71201715292163,9.891584865745562,2.3570469487224117,15.48,42.56,27.080000000000002,1.0
-0.03511190973929615,48.52,78.84,14.24,56.0,13.16,7.857779374241451,14.416565048500127,7.39445332158328,9.415312650600614,1.5311828277503325,19.44,37.44,17.999999999999996,1.0
